Date,Open,High,Low,Close,Adj Close,Volume
2020-05-29,138.64,141.16,132.52,132.52,132.52,8143050
2020-06-01,136.24001,136.75999,132.92,133.67999,133.67999,3870025
2020-06-02,132.88,134.612,129.84,129.96001,129.96001,5699000
2020-06-03,127.52,128.16,123.76,124.36,124.36,6204950
2020-06-04,125.16,126.32,119.72,123.36,123.36,7249625
2020-06-05,115.84,118.32,115.32,116.68,116.68,6918975
2020-06-08,116.08,120.44,115.84,119.28,119.28,4146800
2020-06-09,122.76,126.008,121.84,125.08,125.08,5991125
2020-06-10,126.0,128.39999,119.6,124.52,124.52,7538875
2020-06-11,138.28,169.2,132.52,166.44,166.44,25924175
2020-06-12,153.60001,180.12,149.67999,154.84,154.84,17010500
2020-06-15,168.88,174.48,149.48,150.88,150.88,10042825
2020-06-16,141.12,156.048,139.96001,147.48,147.48,13360400
2020-06-17,146.32001,152.08,145.60001,147.92,147.92,8519600
2020-06-18,150.16,151.72,145.12,145.24001,145.24001,6501850
2020-06-19,141.75999,152.52,140.60001,147.56,147.56,10771300
2020-06-22,148.60001,150.56,139.92,140.36,140.36,8555950
2020-06-23,134.08,138.84,133.672,137.8,137.8,7521425
2020-06-24,142.8,153.36,138.75999,146.88,146.88,16092800
2020-06-25,149.32001,152.52,141.0,141.56,141.56,8958750
2020-06-26,141.8,151.72,141.28,150.0,150.0,11173925
2020-06-29,147.52,152.392,142.48,142.72,142.72,6241725
2020-06-30,143.98399,144.396,134.39999,135.8,135.8,6738400
2020-07-01,133.48,135.64,130.64,131.56,131.56,6205525
2020-07-02,126.2,130.32001,124.12,129.28,129.28,6983975
2020-07-06,125.08,130.62,124.76,129.12,129.12,5901425
2020-07-07,130.2,134.0,126.66,133.56,133.56,6155900
2020-07-08,131.56,135.84,129.84,130.2,130.2,6190675
2020-07-09,130.36,138.03999,129.32001,132.24001,132.24001,8074975
2020-07-10,133.12,135.912,128.52,128.60001,128.60001,5720700
2020-07-13,127.24,141.56,126.92,140.96001,140.96001,8623475
2020-07-14,141.08,144.03999,132.48,132.84,132.84,11530850
2020-07-15,128.88,134.72,128.52,129.03999,129.03999,7136175
2020-07-16,132.28,132.28,126.4,127.04,127.04,6887700
2020-07-17,125.72,126.92,122.28,122.48,122.48,4787400
2020-07-20,120.88,121.56,114.92,116.92,116.92,6717850
2020-07-21,114.0,119.4,112.6,117.96,117.96,8986750
2020-07-22,118.6,120.364,116.52,116.64,116.64,5632425
2020-07-23,115.6,122.72,114.8,120.28,120.28,8791175
2020-07-24,124.08,125.82,120.56,120.68,120.68,8248275
2020-07-27,119.16,120.74,117.08,117.36,117.36,5213500
2020-07-28,117.32,118.32,112.92,116.68,116.68,6415475
2020-07-29,115.08,116.36,113.68,114.28,114.28,5236575
2020-07-30,119.44,125.08,116.0,116.8,116.8,8130625
2020-07-31,113.68,119.72,113.52,114.08,114.08,7686250
2020-08-03,113.24,115.032,112.44,113.84,113.84,5011375
2020-08-04,113.44,113.44,110.12,110.48,110.48,4924325
2020-08-05,108.72,110.32,107.8,108.16,108.16,5105200
2020-08-06,108.44,109.32,106.6,106.96,106.96,5409400
2020-08-07,108.24,108.56,105.08,106.12,106.12,7379275
2020-08-10,104.56,106.2,102.64,103.0,103.0,6440750
2020-08-11,100.6,108.56,100.12,107.8,107.8,9027925
2020-08-12,103.72,104.12,101.26,102.12,102.12,7084700
2020-08-13,102.68,103.4,99.6,102.04,102.04,7129350
2020-08-14,102.92,103.76,101.24,101.76,101.76,6763750
2020-08-17,99.56,100.4,97.68,98.36,98.36,4901300
2020-08-18,97.52,99.72,96.4,97.32,97.32,5534825
2020-08-19,96.52,99.76,95.8,99.08,99.08,8906150
2020-08-20,102.96,103.36,97.6,98.0,98.0,8860550
2020-08-21,99.76,100.16,97.94,98.52,98.52,6429400
2020-08-24,95.8,99.14,95.52,98.08,98.08,6883300
2020-08-25,98.4,101.3,96.92,97.56,97.56,6560725
2020-08-26,96.96,100.36,94.56,99.72,99.72,7418275
2020-08-27,98.76,110.8,97.72,102.88,102.88,13463950
2020-08-28,104.08,108.44,100.64,102.32,102.32,8710425
2020-08-31,105.2,108.36,102.72,107.4,107.4,9084200
2020-09-01,107.4,109.84,106.56,109.08,109.08,7219250
2020-09-02,108.96,112.92,108.52,111.76,111.76,10132175
2020-09-03,113.28,131.03999,109.216,126.84,126.84,29757600
2020-09-04,123.64,136.32001,114.16,115.68,115.68,27723225
2020-09-08,124.96,126.0,112.64,113.12,113.12,15979675
2020-09-09,110.244,111.4,105.4,107.32,107.32,9478975
2020-09-10,106.36,111.12,105.44,108.52,108.52,9801400
2020-09-11,105.56,108.72,101.96,102.08,102.08,10645925
2020-09-14,100.68,101.8,98.84,100.28,100.28,7572125
2020-09-15,99.28,101.96,98.76,100.12,100.12,6376075
2020-09-16,99.48,100.0,97.1,99.84,99.84,7435625
2020-09-17,102.92,103.24,97.12,97.56,97.56,7776750
2020-09-18,96.84,99.92,94.68,97.48,97.48,8654425
2020-09-21,101.6,106.6,100.18,100.64,100.64,9971300
2020-09-22,100.48,104.16,100.44,101.44,101.44,5823700
2020-09-23,101.08,106.88,100.6,106.8,106.8,7324825
2020-09-24,106.92,108.0,102.96,104.76,104.76,6855100
2020-09-25,104.88,105.68,101.52,102.16,102.16,5908050
2020-09-28,101.32,102.6,101.04,101.44,101.44,4565325
2020-09-29,101.88,102.0,98.22,99.76,99.76,5655950
2020-09-30,98.44,100.72,97.16,99.6,99.6,6431850
2020-10-01,98.44,101.6,98.44,100.04,100.04,6037625
2020-10-02,105.24,105.52,101.16,103.12,103.12,7483600
2020-10-05,102.12,103.2,99.1,99.88,99.88,5211750
2020-10-06,99.04,102.16,97.168,101.28,101.28,8701600
2020-10-07,99.32,99.72,97.24,97.96,97.96,4862300
2020-10-08,96.84,97.4,93.84,94.04,94.04,6309750
2020-10-09,91.24,91.28,89.12,89.16,89.16,7283525
2020-10-12,87.6,89.16,87.12,87.4,87.4,7814250
2020-10-13,88.4,90.36,87.84,88.6,88.6,5848825
2020-10-14,87.8,89.04,86.32,87.68,87.68,7393725
2020-10-15,91.64,92.4,88.16,88.44,88.44,8151650
2020-10-16,88.32,89.08,86.96,89.08,89.08,5859825
2020-10-19,88.6,93.52,88.44,92.96,92.96,6951450
2020-10-20,92.32,93.44,91.48,92.92,92.92,7437925
2020-10-21,92.4,93.64,90.128,90.72,90.72,6793550
2020-10-22,90.56,91.36,87.76,88.6,88.6,5668675
2020-10-23,88.24,90.64,88.08,88.68,88.68,4731300
2020-10-26,90.8,98.28,89.88,96.68,96.68,12723175
2020-10-27,96.672,98.76,95.0,97.08,97.08,8526150
2020-10-28,104.4,111.072,103.08,110.92,110.92,19288075
2020-10-29,108.68,110.84,99.76,103.0,103.0,11750425
2020-10-30,104.72,108.04,103.08,106.12,106.12,10005575
2020-11-02,101.32,105.2,101.0,103.76,103.76,10383325
2020-11-03,100.6,101.24,96.76,98.04,98.04,9736425
2020-11-04,94.0,94.24,88.8,89.4,89.4,16301900
2020-11-05,86.56,88.92,85.76,87.92,87.92,9129125
2020-11-06,87.2,87.28,82.04,82.08,82.08,10651450
2020-11-09,76.32,80.44,72.88,80.28,80.28,14982575
2020-11-10,78.28,81.2,77.68,77.88,77.88,8493075
2020-11-11,76.6,77.6,74.52,75.96,75.96,8217275
2020-11-12,77.112,83.0,76.28,81.32,81.32,16717675
2020-11-13,78.6,78.68,75.0,76.32,76.32,9463000
2020-11-16,74.44,77.2,74.16,74.16,74.16,8109925
2020-11-17,75.96,76.4,73.04,73.2,73.2,8178275
2020-11-18,72.44,76.0,71.68,75.36,75.36,9119625
2020-11-19,75.16,76.28,73.32,74.56,74.56,7127700
2020-11-20,74.48,74.72,72.96,74.4,74.4,7244075
2020-11-23,73.4,74.9,72.16,73.44,73.44,8152725
2020-11-24,71.92,73.46,71.76,72.2,72.2,8450425
